,name,callsign,frequency,boundary,upper_fl,lower_fl
0,BELFAST TMA 1,BELFAST ALDERGROVE APP,133.125,N54.53.10.00 W005.47.01.00/N54.46.32.00 W005.30.24.00/N54.24.22.00 W005.57.01.00/N54.21.30.00 W006.05.07.00/N54.26.34.00 W006.10.18.00/N054.26.34.0 W006.10.18.0/N054.26.32.51 W006.10.41.17/N054.26.31.25 W006.11.4.38/N054.26.30.23 W006.11.27.63/N054.26.29.44 W006.11.50.9/N054.26.28.89 W006.12.14.2/N054.26.28.58 W006.12.37.5/N054.26.28.5 W006.13.0.81/N054.26.28.65 W006.13.24.12/N054.26.29.05 W006.13.47.42/N054.26.29.67 W006.14.10.71/N054.26.30.54 W006.14.33.98/N054.26.31.64 W006.14.57.21/N054.26.32.97 W006.15.20.41/N054.26.34.54 W006.15.43.57/N054.26.36.34 W006.16.6.68/N054.26.38.38 W006.16.29.73/N054.26.40.65 W006.16.52.71/N054.26.43.15 W006.17.15.63/N054.26.45.88 W006.17.38.46/N054.26.48.84 W006.18.1.22/N054.26.52.04 W006.18.23.88/N054.26.55.46 W006.18.46.44/N054.26.59.11 W006.19.8.9/N054.27.2.99 W006.19.31.25/N054.27.7.09 W006.19.53.48/N054.27.11.41 W006.20.15.59/N054.27.15.96 W006.20.37.56/N054.27.20.73 W006.20.59.39/N054.27.25.73 W006.21.21.08/N054.27.30.94 W006.21.42.62/N054.27.36.36 W006.22.4.0/N054.27.42.01 W006.22.25.22/N054.27.47.86 W006.22.46.26/N054.27.53.93 W006.23.7.13/N054.28.0.21 W006.23.27.82/N054.28.6.7 W006.23.48.32/N054.28.13.39 W006.24.8.62/N054.28.20.29 W006.24.28.72/N054.28.27.39 W006.24.48.61/N054.28.34.69 W006.25.8.28/N054.28.42.19 W006.25.27.74/N054.28.49.88 W006.25.46.97/N054.28.57.77 W006.26.5.97/N054.29.5.85 W006.26.24.74/N054.29.14.12 W006.26.43.26/N054.29.22.57 W006.27.1.53/N054.29.31.21 W006.27.19.54/N054.29.40.03 W006.27.37.3/N054.29.49.02 W006.27.54.8/N054.29.58.19 W006.28.12.02/N054.30.7.54 W006.28.28.96/N054.30.17.05 W006.28.45.63/N054.30.26.74 W006.29.2.01/N054.30.36.58 W006.29.18.1/N054.30.46.59 W006.29.33.9/N054.30.56.76 W006.29.49.39/N054.31.7.08 W006.30.4.58/N054.31.17.55 W006.30.19.46/N054.31.28.18 W006.30.34.02/N054.31.38.94 W006.30.48.27/N054.31.49.85 W006.31.2.19/N054.32.0.9 W006.31.15.79/N054.32.12.09 W006.31.29.05/N054.32.23.41 W006.31.41.98/N054.32.34.86 W006.31.54.56/N054.32.46.43 W006.32.6.81/N054.32.58.13 W006.32.18.71/N054.33.9.94 W006.32.30.25/N054.33.21.87 W006.32.41.44/N054.33.33.91 W006.32.52.28/N054.33.46.06 W006.33.2.75/N054.33.58.31 W006.33.12.85/N054.34.10.66 W006.33.22.59/N054.34.23.11 W006.33.31.96/N054.34.35.65 W006.33.40.96/N054.34.48.29 W006.33.49.57/N054.35.1.0 W006.33.57.81/N054.35.13.8 W006.34.5.67/N054.35.26.68 W006.34.13.14/N054.35.39.63 W006.34.20.23/N054.35.52.64 W006.34.26.92/N054.36.5.73 W006.34.33.23/N054.36.18.88 W006.34.39.14/N054.36.32.08 W006.34.44.65/N054.36.45.34 W006.34.49.77/N054.36.58.65 W006.34.54.49/N054.37.12.0 W006.34.58.82/N054.37.25.4 W006.35.2.74/N054.37.38.83 W006.35.6.25/N054.37.52.3 W006.35.9.36/N054.38.5.79 W006.35.12.07/N054.38.19.31 W006.35.14.37/N054.38.32.85 W006.35.16.27/N054.38.46.41 W006.35.17.76/N054.38.59.99 W006.35.18.84/N054.39.13.57 W006.35.19.51/N054.39.27.15 W006.35.19.77/N054.39.40.74 W006.35.19.62/N054.39.54.32 W006.35.19.07/N054.40.7.9 W006.35.18.1/N054.40.21.46 W006.35.16.73/N054.40.35.01 W006.35.14.94/N054.40.48.54 W006.35.12.75/N054.41.2.04 W006.35.10.16/N054.41.15.52 W006.35.7.15/N054.41.28.96 W006.35.3.74/N054.41.42.37 W006.34.59.92/N054.41.55.73 W006.34.55.7/N054.42.9.05 W006.34.51.08/N054.42.22.32 W006.34.46.06/N054.42.35.54 W006.34.40.63/N054.42.48.7 W006.34.34.81/N054.43.1.81 W006.34.28.59/N054.43.14.84 W006.34.21.97/N054.43.27.81 W006.34.14.96/N054.43.40.7 W006.34.7.56/N054.43.53.52 W006.33.59.77/N054.44.6.26 W006.33.51.6/N054.44.18.91 W006.33.43.04/N054.44.31.47 W006.33.34.1/N054.44.43.94 W006.33.24.77/N054.44.56.32 W006.33.15.08/N054.45.8.59 W006.33.5.01/N054.45.20.76 W006.32.54.56/N054.45.32.83 W006.32.43.76/N054.45.44.78 W006.32.32.58/N054.45.56.62 W006.32.21.05/N054.46.8.33 W006.32.9.16/N054.46.19.93 W006.31.56.91/N054.46.31.4 W006.31.44.32/N054.46.42.74 W006.31.31.37/N054.46.53.95 W006.31.18.09/N054.47.5.02 W006.31.4.47/N054.47.15.96 W006.30.50.51/N054.47.26.75 W006.30.36.22/N054.47.37.39 W006.30.21.61/N054.47.47.89 W006.30.6.67/N054.47.58.23 W006.29.51.42/N054.48.8.42 W006.29.35.86/N054.48.18.44 W006.29.19.99/N054.48.28.31 W006.29.3.81/N054.48.38.01 W006.28.47.34/N054.48.47.54 W006.28.30.58/N054.48.56.9 W006.28.13.53/N054.49.6.09 W006.27.56.19/N054.49.15.09 W006.27.38.58/N054.49.23.92 W006.27.20.7/N054.49.32.57 W006.27.2.55/N054.49.41.04 W006.26.44.13/N054.49.49.31 W006.26.25.47/N054.49.57.4 W006.26.6.55/N054.50.5.29 W006.25.47.39/N054.50.12.99 W006.25.28.0/N054.50.20.49 W006.25.8.37/N54.50.30.00 W006.24.42.00/N54.53.10.00 W005.47.01.00,000,000
1,BELFAST TMA 2,BELFAST ALDERGROVE APP,133.125,N54.53.10.00 W005.47.01.00/N54.54.18.00 W005.30.00.00/N54.57.15.00 W005.15.30.00/N54.11.00.00 W005.54.28.00/N54.21.30.00 W006.05.07.00/N54.24.22.00 W005.57.01.00/N54.46.32.00 W005.30.24.00/N54.53.10.00 W005.47.01.00,000,000
2,CHANNEL ISLANDS TMA NORTH,JERSEY APP,120.450,N50.00.00.00 W002.00.00.00/N49.48.02.00 W003.10.23.00/N50.00.00.00 W003.20.00.00/N50.00.00.00 W002.00.00.00,000,000
3,CHANNEL ISLANDS TMA SOUTH,JERSEY APP,120.450,N50.00.00.00 W002.00.00.00/N50.00.00.00 W001.47.00.00/N49.44.00.00 W002.00.00.00/N49.30.00.00 W002.00.00.00/N49.02.00.00 W001.40.00.00/N49.02.00.00 W003.00.00.00/N49.35.00.00 W003.00.00.00/N49.48.02.00 W003.10.23.00/N50.00.00.00 W002.00.00.00,000,000
4,LONDON TMA 1,LONDON ACC,118.825,N51.34.51.00 W000.55.16.00/N51.35.15.00 W000.49.01.00/N51.36.32.00 W000.46.06.00/N51.42.26.00 W000.41.10.00/N51.44.09.00 W000.40.05.00/N51.48.30.00 W000.15.06.00/N51.51.02.00 W000.00.30.00/N51.51.46.00 W000.00.06.00/N51.51.55.00 E000.01.20.00/N51.45.08.00 E000.13.09.00/N51.45.56.00 E000.23.09.00/N51.39.08.00 E000.14.16.00/N51.34.30.00 E000.21.36.00/N51.20.46.00 E000.33.38.00/N51.16.21.00 E000.30.54.00/N51.12.17.00 E000.20.18.00/N51.00.02.00 E000.15.41.00/N50.59.00.00 E000.13.33.00/N50.55.41.00 W000.10.07.00/N50.58.32.00 W000.34.28.00/N51.08.32.00 W000.40.55.00/N51.10.14.00 W000.33.25.00/N51.20.35.00 W000.39.59.00/N51.21.03.00 W000.42.36.00/N51.21.12.00 W000.42.47.00/N51.21.08.00 W000.43.00.00/N51.23.35.00 W000.55.16.00/N51.34.51.00 W000.55.16.00,000,000
5,LONDON TMA 3,LONDON ACC,118.825,N52.06.08.00 E000.13.50.00/N52.06.06.00 E000.25.50.00/N52.02.26.00 E000.40.40.00/N51.44.01.00 E000.44.12.00/N51.34.17.00 E000.50.00.00/N51.21.20.00 E000.50.00.00/N51.09.06.00 E000.46.18.00/N51.00.51.00 E000.21.41.00/N51.04.26.00 E000.17.21.00/N51.12.17.00 E000.20.18.00/N51.16.21.00 E000.30.54.00/N51.20.46.00 E000.33.38.00/N51.34.30.00 E000.21.36.00/N51.39.08.00 E000.14.16.00/N51.45.56.00 E000.23.09.00/N51.45.08.00 E000.13.09.00/N051.45.8.0 E000.13.9.0/N051.45.8.69 E000.12.55.57/N051.45.9.52 E000.12.42.16/N051.45.10.5 E000.12.28.77/N051.45.11.62 E000.12.15.41/N051.45.12.89 E000.12.2.09/N051.45.14.3 E000.11.48.8/N051.45.15.85 E000.11.35.56/N051.45.17.55 E000.11.22.36/N051.45.19.39 E000.11.9.21/N051.45.21.37 E000.10.56.12/N051.45.23.49 E000.10.43.08/N051.45.25.75 E000.10.30.1/N051.45.28.15 E000.10.17.19/N051.45.30.69 E000.10.4.34/N051.45.33.37 E000.09.51.57/N051.45.36.19 E000.09.38.88/N051.45.39.14 E000.09.26.27/N051.45.42.23 E000.09.13.74/N051.45.45.45 E000.09.1.3/N051.45.48.81 E000.08.48.95/N051.45.52.3 E000.08.36.7/N051.45.55.92 E000.08.24.55/N051.45.59.68 E000.08.12.5/N051.46.3.56 E000.08.0.56/N051.46.7.57 E000.07.48.72/N051.46.11.71 E000.07.37.01/N051.46.15.97 E000.07.25.41/N051.46.20.36 E000.07.13.93/N051.46.24.88 E000.07.2.57/N051.46.29.51 E000.06.51.35/N051.46.34.26 E000.06.40.25/N051.46.39.14 E000.06.29.29/N051.46.44.13 E000.06.18.47/N051.46.49.24 E000.06.7.79/N051.46.54.46 E000.05.57.25/N051.46.59.79 E000.05.46.86/N051.47.5.24 E000.05.36.62/N051.47.10.8 E000.05.26.54/N051.47.16.46 E000.05.16.62/N051.47.22.23 E000.05.6.85/N051.47.28.11 E000.04.57.25/N051.47.34.08 E000.04.47.81/N051.47.40.16 E000.04.38.54/N051.47.46.34 E000.04.29.45/N051.47.52.62 E000.04.20.53/N051.47.58.99 E000.04.11.78/N051.48.5.45 E000.04.3.22/N051.48.12.01 E000.03.54.84/N051.48.18.65 E000.03.46.64/N051.48.25.39 E000.03.38.63/N051.48.32.21 E000.03.30.82/N051.48.39.11 E000.03.23.19/N051.48.46.09 E000.03.15.76/N051.48.53.15 E000.03.8.52/N051.49.0.29 E000.03.1.49/N051.49.7.51 E000.02.54.66/N051.49.14.79 E000.02.48.03/N051.49.22.15 E000.02.41.6/N051.49.29.58 E000.02.35.39/N051.49.37.07 E000.02.29.38/N051.49.44.62 E000.02.23.59/N051.49.52.24 E000.02.18.0/N051.49.59.92 E000.02.12.64/N051.50.7.65 E000.02.7.49/N051.50.15.44 E000.02.2.55/N051.50.23.28 E000.01.57.84/N051.50.31.16 E000.01.53.35/N051.50.39.1 E000.01.49.08/N051.50.47.08 E000.01.45.04/N051.50.55.11 E000.01.41.22/N051.51.3.17 E000.01.37.62/N051.51.11.27 E000.01.34.25/N051.51.19.41 E000.01.31.12/N051.51.27.58 E000.01.28.21/N051.51.35.78 E000.01.25.53/N051.51.44.0 E000.01.23.08/N051.51.52.25 E000.01.20.87/N51.51.55.00 E000.01.20.00/N51.51.46.00 W000.00.06.00/N51.51.02.00 W000.00.30.00/N51.48.30.00 W000.15.06.00/N51.44.09.00 W000.40.05.00/N51.42.26.00 W000.41.10.00/N51.36.32.00 W000.46.06.00/N51.35.15.00 W000.49.01.00/N51.40.21.00 W000.49.16.00/N51.45.42.00 W000.55.50.00/N51.50.21.00 W000.29.31.00/N51.57.43.00 W000.21.45.00/N52.03.00.00 E000.09.07.00/N52.06.08.00 E000.13.50.00,000,000
6,LONDON TMA 4,LONDON ACC,119.780,N51.24.30.00 W001.00.00.00/N51.34.33.00 W001.00.00.00/N51.34.51.00 W000.55.16.00/N51.23.35.00 W000.55.16.00/N51.21.08.00 W000.43.00.00/N51.21.12.00 W000.42.47.00/N051.21.12.0 W000.42.47.0/N51.21.03.00 W000.42.36.00/N51.20.35.00 W000.39.59.00/N51.10.14.00 W000.33.25.00/N51.08.32.00 W000.40.55.00/N50.58.32.00 W000.34.28.00/N50.57.39.00 W000.41.04.00/N50.57.28.00 W000.42.24.00/N51.06.52.00 W000.48.29.00/N51.10.35.00 W000.50.54.00/N51.17.05.00 W000.55.08.00/N51.24.30.00 W001.00.00.00,000,000
7,LONDON TMA 5,LONDON ACC,119.780,N51.34.51.00 W000.55.16.00/N51.44.57.00 W001.00.00.00/N51.45.42.00 W000.55.50.00/N51.40.21.00 W000.49.16.00/N51.35.15.00 W000.49.01.00/N51.34.51.00 W000.55.16.00,000,000
8,LONDON TMA 6,LONDON ACC,119.780,N52.06.06.00 W000.17.12.00/N52.06.08.00 E000.13.50.00/N52.03.00.00 E000.09.07.00/N51.57.43.00 W000.21.45.00/N52.00.38.00 W000.28.32.00/N52.06.06.00 W000.17.12.00,000,000
9,LONDON TMA 7,LONDON ACC,118.825,N51.44.01.00 E000.44.12.00/N52.02.26.00 E000.40.40.00/N52.00.45.00 E000.47.24.00/N51.44.31.00 E000.50.38.00/N51.36.18.00 E000.55.32.00/N51.34.17.00 E000.50.00.00/N51.44.01.00 E000.44.12.00,000,000
10,LONDON TMA 8,LONDON ACC,120.180,N52.00.45.00 E000.47.24.00/N51.55.48.00 E001.07.05.00/N51.59.04.00 E001.23.02.00/N51.52.22.00 E001.26.35.00/N51.39.05.00 E001.25.00.00/N51.22.47.00 E001.15.49.00/N50.58.42.00 E001.02.27.00/N50.45.07.00 E000.45.00.00/N50.40.00.00 E000.30.00.00/N50.40.00.00 W000.22.20.00/N50.55.00.00 W000.38.14.00/N50.55.00.00 W000.22.56.00/N50.54.29.00 W000.21.15.00/N50.51.57.00 W000.04.18.00/N51.09.06.00 E000.46.18.00/N51.21.20.00 E000.50.00.00/N51.28.29.00 E000.50.00.00/N51.34.17.00 E000.50.00.00/N51.36.18.00 E000.55.32.00/N51.44.31.00 E000.50.38.00/N52.00.45.00 E000.47.24.00,000,000
11,LONDON TMA 9,LONDON ACC,121.230,N52.11.04.00 W000.21.59.00/N52.11.04.00 E000.05.28.00/N52.06.06.00 E000.25.50.00/N52.06.06.00 W000.17.12.00/N52.11.04.00 W000.21.59.00,000,000
12,LONDON TMA 10,LONDON ACC,119.780,N51.44.57.00 W001.00.00.00/N51.34.51.00 W000.55.16.00/N51.34.33.00 W001.00.00.00/N51.33.02.00 W001.00.00.00/N51.34.23.00 W001.11.38.00/N51.44.57.00 W001.00.00.00,000,000
13,LONDON TMA 11,LONDON ACC,129.080,N51.34.23.00 W001.11.38.00/N51.33.02.00 W001.00.00.00/N51.24.30.00 W001.00.00.00/N51.17.05.00 W000.55.08.00/N051.17.5.0 W000.55.8.0/N051.17.2.64 W000.55.14.9/N051.17.0.2 W000.55.21.72/N051.16.57.69 W000.55.28.48/N051.16.55.11 W000.55.35.17/N051.16.52.45 W000.55.41.79/N051.16.49.72 W000.55.48.33/N051.16.46.92 W000.55.54.79/N051.16.44.04 W000.56.1.18/N051.16.41.1 W000.56.7.48/N051.16.38.09 W000.56.13.7/N051.16.35.01 W000.56.19.83/N051.16.31.87 W000.56.25.88/N051.16.28.66 W000.56.31.84/N051.16.25.39 W000.56.37.71/N051.16.22.05 W000.56.43.49/N051.16.18.64 W000.56.49.17/N051.16.15.18 W000.56.54.76/N051.16.11.66 W000.57.0.25/N051.16.8.07 W000.57.5.64/N051.16.4.43 W000.57.10.93/N051.16.0.73 W000.57.16.11/N051.15.56.97 W000.57.21.2/N051.15.53.16 W000.57.26.17/N051.15.49.3 W000.57.31.04/N051.15.45.38 W000.57.35.81/N051.15.41.41 W000.57.40.46/N051.15.37.39 W000.57.45.0/N51.15.35.00 W000.57.48.00/N51.19.56.00 W001.09.18.00/N51.23.48.00 W001.08.22.00/N51.24.35.00 W001.14.44.00/N51.34.23.00 W001.11.38.00,000,000
14,LONDON TMA 13,LONDON ACC,120.530,N51.19.56.00 W001.09.18.00/N51.15.35.00 W000.57.48.00/N051.15.35.0 W000.57.48.0/N051.15.39.05 W000.57.43.53/N051.15.43.06 W000.57.38.94/N051.15.47.01 W000.57.34.24/N051.15.50.91 W000.57.29.43/N051.15.54.76 W000.57.24.52/N051.15.58.55 W000.57.19.5/N051.16.2.29 W000.57.14.37/N051.16.5.97 W000.57.9.14/N051.16.9.59 W000.57.3.81/N051.16.13.15 W000.56.58.37/N051.16.16.66 W000.56.52.84/N051.16.20.1 W000.56.47.21/N051.16.23.48 W000.56.41.49/N051.16.26.8 W000.56.35.68/N051.16.30.05 W000.56.29.77/N051.16.33.24 W000.56.23.77/N051.16.36.36 W000.56.17.68/N051.16.39.41 W000.56.11.51/N051.16.42.4 W000.56.5.26/N051.16.45.31 W000.55.58.92/N051.16.48.16 W000.55.52.5/N051.16.50.94 W000.55.46.0/N051.16.53.64 W000.55.39.43/N051.16.56.27 W000.55.32.78/N051.16.58.83 W000.55.26.06/N051.17.1.32 W000.55.19.27/N051.17.3.73 W000.55.12.41/N51.17.05.00 W000.55.08.00/N51.06.52.00 W000.48.29.00/N51.06.02.00 W000.54.39.00/N50.56.16.00 W000.51.19.00/N50.55.12.00 W000.59.08.00/N50.51.19.00 W000.54.57.00/N50.48.48.00 W000.52.14.00/N50.49.28.00 W001.17.14.00/N50.54.35.00 W001.03.35.00/N51.04.20.00 W001.06.57.00/N51.03.29.00 W001.13.12.00/N51.19.56.00 W001.09.18.00,000,000
15,LONDON TMA 14,LONDON ACC,133.180,N50.57.39.00 W000.41.04.00/N50.58.32.00 W000.34.28.00/N50.55.00.00 W000.22.56.00/N50.55.00.00 W000.38.14.00/N50.57.39.00 W000.41.04.00,000,000
16,LONDON TMA 16,LONDON ACC,118.825,N52.05.48.00 E000.27.01.00/N52.07.13.00 E000.51.49.00/N52.00.24.00 E000.48.48.00/N52.05.48.00 E000.27.01.00,000,000
17,LONDON TMA 17,LONDON ACC,118.825,N52.00.24.00 E000.48.48.00/N52.07.13.00 E000.51.49.00/N51.58.06.00 E000.58.00.00/N52.00.24.00 E000.48.48.00,000,000
18,LONDON TMA 18,LONDON ACC,118.825,N52.05.48.00 E000.27.01.00/N52.11.04.00 E000.05.28.00/N52.11.04.00 E000.32.42.00/N52.12.21.00 E000.48.19.00/N52.07.13.00 E000.51.49.00/N52.05.48.00 E000.27.01.00,000,000
19,LONDON TMA 19,LONDON ACC,119.780,N51.57.45.00 W001.11.26.00/N52.04.21.00 W000.37.12.00/N52.03.16.00 W000.34.41.00/N52.11.26.00 W000.22.20.00/N52.06.06.00 W000.17.12.00/N52.00.38.00 W000.28.32.00/N51.57.43.00 W000.21.45.00/N51.50.21.00 W000.29.31.00/N51.44.57.00 W001.00.00.00/N51.44.20.00 W001.00.41.00/N51.57.45.00 W001.11.26.00,000,000
20,LONDON TMA 20,LONDON ACC,120.530,N51.04.26.00 E000.17.21.00/N51.00.51.00 E000.21.41.00/N50.51.57.00 W000.04.18.00/N50.54.29.00 W000.21.15.00/N50.58.32.00 W000.34.28.00/N50.55.41.00 W000.10.07.00/N50.59.00.00 E000.13.33.00/N51.00.02.00 E000.15.41.00/N51.04.26.00 E000.17.21.00,000,000
21,LONDON TMA 21,LONDON ACC,133.180,N50.57.39.00 W000.41.04.00/N50.46.26.00 W000.29.08.00/N50.46.26.00 W000.49.42.00/N50.48.48.00 W000.52.14.00/N50.51.19.00 W000.54.57.00/N50.55.12.00 W000.59.08.00/N50.56.16.00 W000.51.19.00/N50.57.28.00 W000.42.24.00/N50.57.39.00 W000.41.04.00,000,000
22,LONDON TMA 23,LONDON ACC,129.080,N51.36.07.00 W001.25.47.00/N51.34.23.00 W001.11.38.00/N51.24.35.00 W001.14.44.00/N51.26.19.00 W001.28.50.00/N51.36.07.00 W001.25.47.00,000,000
23,LONDON TMA 24,LONDON ACC,133.180,N51.06.52.00 W000.48.29.00/N50.57.28.00 W000.42.24.00/N50.56.16.00 W000.51.19.00/N51.06.02.00 W000.54.39.00/N51.06.52.00 W000.48.29.00,000,000
24,MANCHESTER TMA 1,SCOTTISH ACC,128.055,N53.51.10.00 W002.03.48.00/N53.47.26.00 W001.59.13.00/N53.37.13.00 W001.48.30.00/N53.36.50.00 W001.52.16.00/N53.27.19.00 W001.46.17.00/N53.26.56.00 W001.50.00.00/N53.07.32.00 W002.00.56.00/N53.06.02.00 W002.22.46.00/N53.06.26.00 W002.43.49.00/N53.14.27.00 W003.01.40.00/N53.23.09.00 W003.12.05.00/N53.27.34.00 W003.03.10.00/N53.32.13.00 W003.14.06.00/N53.32.23.00 W002.59.07.00/N53.51.10.00 W002.03.48.00,000,000
25,MANCHESTER TMA 2,SCOTTISH ACC,128.055,N53.39.18.00 W002.39.00.00/N53.36.30.00 W003.01.36.00/N53.32.22.00 W003.00.59.00/N53.32.23.00 W002.59.07.00/N53.39.18.00 W002.39.00.00,000,000
26,SCOTTISH TMA 1,SCOTTISH ACC,121.375,N55.37.00.00 W004.28.47.00/N55.41.25.00 W004.10.17.00/N55.41.25.00 W002.55.10.00/N55.33.02.00 W004.29.18.00/N55.37.00.00 W004.28.47.00,000,000
27,SCOTTISH TMA 2,SCOTTISH ACC,121.375,N55.43.34.00 W005.00.00.00/N55.33.02.00 W004.29.18.00/N55.41.25.00 W002.55.10.00/N55.27.00.00 W003.00.00.00/N55.06.03.00 W004.14.19.00/N55.12.14.00 W005.02.34.00/N55.15.11.00 W005.00.00.00/N55.43.34.00 W005.00.00.00,000,000
28,SCOTTISH TMA 3,SCOTTISH ACC,121.375,N56.14.00.00 W004.09.26.00/N56.14.00.00 W003.32.59.00/N56.07.00.00 W003.29.38.00/N56.07.00.00 W002.56.08.00/N56.00.08.00 W002.48.49.00/N55.41.25.00 W002.55.10.00/N55.41.25.00 W004.10.17.00/N55.37.00.00 W004.28.47.00/N55.44.28.00 W004.50.35.00/N55.43.34.00 W005.00.00.00/N55.50.00.00 W005.00.00.00/N56.00.00.00 W004.44.00.00/N56.14.00.00 W004.09.26.00,000,000
29,SCOTTISH TMA 4,SCOTTISH ACC,121.375,N56.00.08.00 W002.48.49.00/N55.31.00.00 W002.51.56.00/N55.27.00.00 W003.00.00.00/N56.00.08.00 W002.48.49.00,000,000
30,SCOTTISH TMA 5,SCOTTISH ACC,121.375,N55.44.28.00 W004.50.35.00/N55.37.00.00 W004.28.47.00/N55.33.02.00 W004.29.18.00/N55.43.34.00 W005.00.00.00/N55.44.28.00 W004.50.35.00,000,000
31,SCOTTISH TMA 6,SCOTTISH ACC,121.375,N55.55.00.00 W004.52.00.00/N55.46.00.00 W004.49.51.00/N55.44.28.00 W004.50.35.00/N55.43.34.00 W005.00.00.00/N55.50.00.00 W005.00.00.00/N55.55.00.00 W004.52.00.00,000,000
32,SCOTTISH TMA 7,SCOTTISH ACC,121.375,N56.14.00.00 W004.09.26.00/N56.14.00.00 W003.32.59.00/N56.07.00.00 W003.29.38.00/N56.07.00.00 W004.09.10.00/N55.55.00.00 W004.52.00.00/N56.00.00.00 W004.44.00.00/N56.14.00.00 W004.09.26.00,000,000
